[2013-07-25 21:31:17] An exception occurred while executing 'INSERT INTO Account (number, amount) VALUES (?, ?)' with params [0, 0]:SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '0' for key 'UNIQ_B28B6F3896901F54'
[2013-07-25 21:36:47] An exception occurred while executing 'INSERT INTO Account (number, amount) VALUES (?, ?)' with params [0, 0]:SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '0' for key 'UNIQ_B28B6F3896901F54'
[2013-07-25 21:59:03] An exception occurred while executing 'INSERT INTO Account (number, amount) VALUES (?, ?)' with params [0, 0]:SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '0' for key 'UNIQ_B28B6F3896901F54'
[2013-07-25 22:06:05] An exception occurred while executing 'INSERT INTO Account (number, amount) VALUES (?, ?)' with params [444, 0]:SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '444' for key 'UNIQ_B28B6F3896901F54'
[2013-07-25 22:06:24] An exception occurred while executing 'INSERT INTO Account (number, amount) VALUES (?, ?)' with params [444, 0]:SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '444' for key 'UNIQ_B28B6F3896901F54'
[2013-07-25 22:06:39] An exception occurred while executing 'INSERT INTO Account (number, amount) VALUES (?, ?)' with params [444, 0]:SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '444' for key 'UNIQ_B28B6F3896901F54'
[2013-07-25 22:06:47] An exception occurred while executing 'INSERT INTO Account (number, amount) VALUES (?, ?)' with params [444, 0]:SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '444' for key 'UNIQ_B28B6F3896901F54'
[2013-07-25 22:07:25] An exception occurred while executing 'INSERT INTO Account (number, amount) VALUES (?, ?)' with params [444, 0]:SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '444' for key 'UNIQ_B28B6F3896901F54'
[2013-07-25 22:07:32] An exception occurred while executing 'INSERT INTO Account (number, amount) VALUES (?, ?)' with params [0, 0]:SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '0' for key 'UNIQ_B28B6F3896901F54'
[2013-07-25 22:17:01] An exception occurred while executing 'INSERT INTO Account (number, amount) VALUES (?, ?)' with params [0, 0]:SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '0' for key 'UNIQ_B28B6F3896901F54'
[2013-07-25 22:34:34] An exception occurred while executing 'INSERT INTO Account (number, amount) VALUES (?, ?)' with params [0, 0]:SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '0' for key 'UNIQ_B28B6F3896901F54'
[2013-07-25 22:34:39] An exception occurred while executing 'INSERT INTO Account (number, amount) VALUES (?, ?)' with params [0, 0]:SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '0' for key 'UNIQ_B28B6F3896901F54'
[2013-07-25 23:50:59] An exception occurred while executing 'INSERT INTO Account (number, amount) VALUES (?, ?)' with params [0, 0]:SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '0' for key 'UNIQ_B28B6F3896901F54'
[2013-07-25 23:58:07] An exception occurred while executing 'INSERT INTO Account (number, amount) VALUES (?, ?)' with params [0, 0]:SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '0' for key 'UNIQ_B28B6F3896901F54'
[2013-07-26 00:03:17] An exception occurred while executing 'INSERT INTO Account (number, amount) VALUES (?, ?)' with params [444, 0]:SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '444' for key 'UNIQ_B28B6F3896901F54'
[2013-07-26 00:03:32] An exception occurred while executing 'INSERT INTO Account (number, amount) VALUES (?, ?)' with params [444, 0]:SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '444' for key 'UNIQ_B28B6F3896901F54'
[2013-07-26 00:03:42] Account already exists
